round,send_time,recv_time,rtt,status
1,1773953308.523625,,,missed
1,1773953308.523625,1773953313.6101396,5.086514711380005,late
2,1773953316.5341117,,,missed
2,1773953316.5341117,1773953321.57785,5.04373836517334,late
3,1773953324.5643415,,,missed
3,1773953324.5643415,1773953329.6593497,5.095008134841919,late
4,1773953332.5983565,,,missed
4,1773953332.5983565,1773953337.6935568,5.095200300216675,late
5,1773953340.6219504,,,missed
5,1773953340.6219504,1773953345.70222,5.0802695751190186,late
