round,send_time,recv_time,rtt,status
1,1773966917.474276,1773966919.4488776,1.9746015071868896,success
2,1773966924.5998394,1773966926.564577,1.9647376537322998,success
3,1773966931.6343086,1773966933.6859503,2.0516417026519775,success
4,1773966938.8007352,1773966940.7943852,1.993649959564209,success
5,1773966945.9104028,1773966947.9108424,2.0004396438598633,success
"sender: client18, message: > hello from client18"
6,1773966953.024041,1773966955.048122,2.024080991744995,success
"sender: client18, message: > hello from client18"
7,1773966960.154008,1773966962.1652036,2.011195659637451,success
"sender: client18, message: > hello from client18"
8,1773966967.268332,1773966969.2840133,2.015681266784668,success
"sender: client18, message: > hello from client18"
9,1773966974.3467956,1773966976.4036596,2.056864023208618,success
"sender: client18, message: > hello from client18"
10,1773966981.5116527,1773966983.5319526,2.0202999114990234,success
"sender: client18, message: > hello from client18"
11,1773966988.661287,1773966990.6505957,1.9893085956573486,success
"sender: client18, message: > hello from client18"
12,1773966995.7440686,1773966997.7583554,2.014286756515503,success
"sender: client18, message: > hello from client18"
13,1773967002.906661,1773967004.8955503,1.988889217376709,success
"sender: client18, message: > hello from client18"
14,1773967010.0253017,1773967012.0256743,2.0003726482391357,success
"sender: client18, message: > hello from client18"
15,1773967017.1243362,1773967019.1547685,2.0304322242736816,success
"sender: client18, message: > hello from client18"
16,1773967024.2659705,1773967026.2687738,2.002803325653076,success
"sender: client18, message: > hello from client18"
17,1773967031.3797183,1773967033.403194,2.0234756469726562,success
"sender: client18, message: > hello from client18"
18,1773967038.5620065,1773967040.524913,1.9629065990447998,success
19,1773967045.6345103,1773967047.6246712,1.9901609420776367,success
20,1773967052.7324817,1773967054.7586205,2.0261387825012207,success
"sender: client18, message: > hello from client18"
