round,send_time,recv_time,rtt,status
1,1773961479.284967,1773961481.2912261,2.0062592029571533,success
2,1773961486.40089,1773961488.3753622,1.9744720458984375,success
3,1773961493.6715121,1773961495.557226,1.885713815689087,success
4,1773961500.955864,1773961502.7841542,1.8282902240753174,success
5,1773961508.369319,1773961510.1114502,1.742131233215332,success
6,1773961515.9880981,1773961517.4849868,1.4968886375427246,success
7,1773961523.414485,1773961524.941304,1.5268189907073975,success
8,1773961531.192629,1773961532.463928,1.271298885345459,success
9,1773961538.163512,1773961540.099157,1.9356451034545898,success
10,1773961545.89647,1773961547.754362,1.8578920364379883,success
11,1773961553.299584,1773961555.144902,1.845318078994751,success
12,1773961560.9181361,1773961562.628027,1.7098908424377441,success
13,1773961568.2762408,1773961570.133424,1.8571832180023193,success
"sender: client0, message: > hello from client0"
14,1773961575.554065,1773961577.6936052,2.139540195465088,success
"sender: client0, message: > hello from client0"
15,1773961583.434138,1773961585.205608,1.7714698314666748,success
"sender: client0, message: > hello from client0"
16,1773961590.818353,1773961592.734563,1.9162101745605469,success
17,1773961599.011348,1773961600.2462249,1.2348768711090088,success
"sender: client0, message: > hello from client0"
18,1773961605.712283,1773961607.7691588,2.0568759441375732,success
"sender: client0, message: > hello from client0"
19,1773961613.35641,1773961615.265635,1.9092249870300293,success
"sender: client0, message: > hello from client0"
20,1773961620.997988,1773961622.807862,1.8098740577697754,success
21,1773961628.443254,1773961630.301852,1.858597993850708,success
"sender: client0, message: > hello from client0"
