round,send_time,recv_time,rtt,status
5,1773967825.0014174,1773967826.9567099,1.9552924633026123,success
6,1773967832.311462,1773967834.2509656,1.9395036697387695,success
7,1773967839.8539155,1773967841.5851235,1.731208086013794,success
8,1773967847.1958718,1773967848.894074,1.698202133178711,success
9,1773967854.4784844,1773967856.2630692,1.7845847606658936,success
"sender: client284, message: > hello from client284"
10,1773967861.5111358,1773967863.5657144,2.0545785427093506,success
"sender: client284, message: > hello from client284"
11,1773967868.9675748,1773967870.916093,1.9485182762145996,success
12,1773967876.2038283,1773967878.3394926,2.135664224624634,success
13,1773967883.665905,1773967885.7586138,2.0927088260650635,success
"sender: client284, message: > hello from client284"
14,1773967890.93552,1773967893.000693,2.0651731491088867,success
"sender: client284, message: > hello from client284"
15,1773967898.2917113,1773967900.4776616,2.18595027923584,success
"sender: client284, message: > hello from client284"
16,1773967905.660284,1773967907.6965282,2.0362441539764404,success
"sender: client284, message: > hello from client284"
17,1773967913.051078,1773967915.0788739,2.0277957916259766,success
"sender: client284, message: > hello from client284"
18,1773967920.3904781,1773967922.4392781,2.048799991607666,success
19,1773967927.7187257,1773967929.7885988,2.069873094558716,success
20,1773967934.9751253,1773967937.1081123,2.1329870223999023,success
"sender: client284, message: > hello from client284"
