round,send_time,recv_time,rtt,status
7,1773967839.7649791,1773967841.6613255,1.8963463306427002,success
8,1773967846.9957974,1773967848.8960218,1.9002244472503662,success
9,1773967854.498088,1773967856.2381282,1.7400403022766113,success
10,1773967861.6108825,1773967863.571839,1.9609565734863281,success
"sender: client422, message: > hello from client422"
11,1773967868.9508903,1773967870.9183629,1.9674725532531738,success
"sender: client422, message: > hello from client422"
12,1773967876.1803634,1773967878.3325975,2.1522340774536133,success
13,1773967883.6695566,1773967885.7596774,2.090120792388916,success
"sender: client422, message: > hello from client422"
14,1773967890.9768026,1773967892.9879339,2.0111312866210938,success
"sender: client422, message: > hello from client422"
15,1773967898.2739794,1773967900.4768322,2.202852725982666,success
"sender: client422, message: > hello from client422"
16,1773967905.6231964,1773967907.7050045,2.081808090209961,success
17,1773967912.9913578,1773967915.0639164,2.072558641433716,success
"sender: client422, message: > hello from client422"
18,1773967920.3418367,1773967922.4286442,2.0868074893951416,success
19,1773967927.7639043,1773967929.7617874,1.9978830814361572,success
"sender: client422, message: > hello from client422"
20,1773967935.0512693,1773967937.212586,2.1613166332244873,success
"sender: client422, message: > hello from client422"
