round,send_time,recv_time,rtt,status
8,1773967847.1170988,1773967848.886526,1.7694272994995117,success
9,1773967854.3375955,1773967856.2347004,1.8971049785614014,success
10,1773967861.5125117,1773967863.5894477,2.0769360065460205,success
11,1773967868.9348001,1773967870.9197369,1.9849367141723633,success
12,1773967876.2372878,1773967878.3387694,2.1014816761016846,success
13,1773967883.6598485,1773967885.7585669,2.0987184047698975,success
"sender: client488, message: > hello from client488"
14,1773967890.9651759,1773967893.0068204,2.04164457321167,success
"sender: client488, message: > hello from client488"
15,1773967898.297588,1773967900.4794261,2.181838035583496,success
"sender: client488, message: > hello from client488"
16,1773967905.6368582,1773967907.6949599,2.0581016540527344,success
"sender: client488, message: > hello from client488"
17,1773967913.0364869,1773967915.1665924,2.130105495452881,success
"sender: client488, message: > hello from client488"
18,1773967920.3318675,1773967922.454909,2.1230416297912598,success
"sender: client488, message: > hello from client488"
19,1773967927.752929,1773967929.7709944,2.0180654525756836,success
"sender: client488, message: > hello from client488"
20,1773967935.0421965,1773967937.1125395,2.070343017578125,success
"sender: client488, message: > hello from client488"
