round,send_time,recv_time,rtt,status
1,1773967796.2633677,1773967798.2635603,2.000192642211914,success
2,1773967803.3137593,1773967805.3683817,2.0546224117279053,success
3,1773967810.6573155,1773967812.5302727,1.8729572296142578,success
4,1773967817.7884586,1773967819.7069876,1.9185290336608887,success
5,1773967825.1290493,1773967826.9843056,1.8552563190460205,success
6,1773967832.3414965,1773967834.233466,1.8919694423675537,success
7,1773967839.9731302,1773967841.587007,1.6138768196105957,success
8,1773967847.1628778,1773967848.8644443,1.701566457748413,success
9,1773967854.3964345,1773967856.236373,1.8399384021759033,success
10,1773967861.5381274,1773967863.5615947,2.0234673023223877,success
11,1773967868.9526649,1773967870.9193585,1.966693639755249,success
"sender: client12, message: > hello from client12"
12,1773967876.2245831,1773967878.3300688,2.105485677719116,success
"sender: client12, message: > hello from client12"
13,1773967883.614634,1773967885.6483495,2.0337154865264893,success
"sender: client12, message: > hello from client12"
14,1773967890.963735,1773967893.005805,2.042069911956787,success
"sender: client12, message: > hello from client12"
15,1773967898.1073172,1773967900.3473864,2.2400691509246826,success
16,1773967905.6776116,1773967907.6860163,2.0084047317504883,success
"sender: client12, message: > hello from client12"
17,1773967913.0267203,1773967915.0283875,2.0016672611236572,success
"sender: client12, message: > hello from client12"
18,1773967920.3352873,1773967922.4189348,2.0836474895477295,success
"sender: client12, message: > hello from client12"
19,1773967927.754044,1773967929.7473586,1.993314504623413,success
"sender: client12, message: > hello from client12"
20,1773967935.096339,1773967937.1013565,2.0050175189971924,success
