round,send_time,recv_time,rtt,status
7,1773967839.9135451,1773967841.5908873,1.677342176437378,success
8,1773967847.1726158,1773967848.8910086,1.7183928489685059,success
9,1773967854.392034,1773967856.239498,1.847463846206665,success
10,1773967861.590926,1773967863.5701425,1.9792165756225586,success
11,1773967868.9657564,1773967870.929582,1.9638257026672363,success
"sender: client419, message: > hello from client419"
12,1773967876.1898813,1773967878.3317323,2.1418509483337402,success
13,1773967883.6176245,1773967885.6745918,2.056967258453369,success
"sender: client419, message: > hello from client419"
14,1773967890.940049,1773967892.9881134,2.0480644702911377,success
"sender: client419, message: > hello from client419"
15,1773967898.3248744,1773967900.473188,2.148313522338867,success
"sender: client419, message: > hello from client419"
16,1773967905.6114852,1773967907.7140775,2.1025922298431396,success
17,1773967913.0212536,1773967915.0639505,2.042696952819824,success
"sender: client419, message: > hello from client419"
18,1773967920.3643992,1773967922.4451456,2.0807464122772217,success
"sender: client419, message: > hello from client419"
19,1773967927.5800922,1773967929.76138,2.1812877655029297,success
"sender: client419, message: > hello from client419"
20,1773967935.0709722,1773967937.2218537,2.15088152885437,success
"sender: client419, message: > hello from client419"
