round,send_time,recv_time,rtt,status
6,1773967832.479962,1773967834.2498674,1.7699053287506104,success
7,1773967839.928511,1773967841.5922945,1.6637835502624512,success
8,1773967847.1833506,1773967848.9021132,1.7187626361846924,success
9,1773967854.421918,1773967856.247206,1.8252880573272705,success
10,1773967861.6315835,1773967863.5954363,1.963852882385254,success
11,1773967868.9422734,1773967870.9920478,2.049774408340454,success
12,1773967876.2315772,1773967878.2742882,2.042711019515991,success
"sender: client372, message: > hello from client372"
13,1773967883.5980132,1773967885.760835,2.1628217697143555,success
"sender: client372, message: > hello from client372"
14,1773967890.9474754,1773967892.9869516,2.039476156234741,success
15,1773967898.2630363,1773967900.4960353,2.232999086380005,success
"sender: client372, message: > hello from client372"
16,1773967905.6228852,1773967907.709113,2.0862276554107666,success
17,1773967912.942758,1773967915.063416,2.1206579208374023,success
"sender: client372, message: > hello from client372"
18,1773967920.3936846,1773967922.4386997,2.0450150966644287,success
19,1773967927.7482023,1773967929.780965,2.0327627658843994,success
"sender: client372, message: > hello from client372"
20,1773967935.0073473,1773967937.2155285,2.208181142807007,success
"sender: client372, message: > hello from client372"
